player,team,position,height,weight,age,experience,college,salary,games,minutes,points,points3,points2,points1
Denzel Valentine,CHI,SG,74,212,23,0,Michigan State University,2092200,57,976,291,73,29,14
Adreian Payne,MIN,PF,70,237,25,2,Michigan State University,2022240,18,135,63,3,20,14
Juan Hernangomez,DEN,PF,69,230,21,0,,1987440,62,842,305,46,55,57
James Young,BOS,SG,70,215,21,2,University of Kentucky,1825200,29,220,68,12,13,6
Joffrey Lauvergne,CHI,C,70,220,25,2,,1709720,20,241,89,6,31,9
Henry Ellenson,DET,PF,70,245,20,0,Marquette University,1704120,19,146,60,10,13,4
John Wall,WAS,PG,70,195,26,6,University of Kentucky,1695790,78,2836,1805,89,558,422
Gary Harris,DEN,SG,70,210,22,2,Michigan State University,1655880,57,1782,851,107,213,104
Jerian Grant,CHI,PG,70,195,24,1,University of Notre Dame,1643040,63,1028,370,49,79,65
Delon Wright,TOR,PG,70,183,24,1,University of Utah,1577280,27,446,150,10,39,42
Caris LeVert,BRK,SF,70,203,22,0,University of Michigan,1562280,57,1237,468,59,112,67
Beno Udrih,DET,PG,70,205,34,12,,1551659,39,560,227,11,81,32
Brandon Bass,LAC,PF,70,250,31,11,Louisiana State University,1551659,52,577,292,1,106,77
David Lee,SAS,PF,70,245,33,11,University of Florida,1551659,79,1477,576,0,248,80
David West,GSW,C,70,250,36,13,Xavier University,1551659,68,854,316,3,132,43
Jason Terry,MIL,SG,74,185,39,17,University of Arizona,1551659,74,1365,307,73,32,24
Justin Anderson,PHI,SF,70,228,23,1,University of Virginia,1514160,24,518,203,21,54,32
Bobby Portis,CHI,PF,70,230,21,1,University of Arkansas,1453680,64,1000,437,32,151,39
Demetrius Jackson,BOS,PG,73,201,22,0,University of Notre Dame,1450000,5,17,10,1,2,3
Gerald Green,BOS,SF,70,205,31,9,,1410598,47,538,262,39,56,33
JaVale McGee,GSW,C,74,270,29,8,University of Nevada. Reno,1403611,77,739,472,0,208,56
Eric Bledsoe,PHO,PG,73,190,27,6,University of Kentucky,1400000,66,2176,1390,104,345,388
Alan Anderson,LAC,SF,70,220,34,7,Michigan State University,1315448,30,308,86,14,16,12
Clint Capela,HOU,C,72,240,22,2,,1296240,65,1551,818,0,362,94
Jarell Martin,MEM,PF,72,239,22,1,Louisiana State University,1286160,42,558,165,9,49,40
Brice Johnson,LAC,PF,72,230,22,0,University of North Carolina,1273920,3,9,4,0,2,0
Brandon Knight,PHO,SG,71,189,25,5,University of Kentucky,1260625,54,1140,595,45,164,132
Brandon Jennings,WAS,PG,73,170,27,7,,1200000,23,374,81,11,18,12
Josh Huestis,OKC,PF,71,230,25,1,Stanford University,1191480,2,31,14,2,4,0
Dejounte Murray,SAS,PG,69,170,20,0,University of Washington,1180080,38,322,130,9,41,21
Damian Jones,GSW,C,74,245,21,0,Vanderbilt University,1171560,10,85,19,0,8,3
Jeremy Lin,BRK,PG,69,200,28,6,Harvard University,1148325,36,883,523,58,117,115
Isaiah Whitehead,BRK,PG,69,213,21,0,Seton Hall University,1074145,73,1643,543,44,160,91
Joe Young,IND,PG,69,180,24,1,University of Oregon,1052342,33,135,68,5,21,11
Brian Roberts,CHO,PG,69,173,31,4,University of Dayton,1050961,41,416,142,17,29,33
DeAndre Liggins,DAL,SG,70,209,28,3,University of Kentucky,1015696,1,25,8,0,3,2
Ian Clark,GSW,SG,70,175,25,3,Belmont University,1015696,77,1137,527,61,150,44
Isaiah Canaan,CHI,SG,69,201,25,3,Murray State University,1015696,39,592,181,25,38,30
Jeff Withey,UTA,C,69,231,26,3,University of Kansas,1015696,51,432,146,0,55,36
Justin Holiday,NYK,SG,78,185,27,3,University of Washington,1015696,82,1639,629,97,136,66
DeAndre Bembry,ATL,SF,78,210,22,0,Saint Joseph s University,999760,38,371,101,1,46,6
James Michael McAdoo,GSW,PF,60,230,24,2,University of North Carolina,980431,52,457,147,2,60,21
JaMychal Green,MEM,PF,55,227,26,2,University of Alabama,980431,77,2101,689,55,195,134
Jerami Grant,OKC,SF,57,210,22,2,Syracuse University,980431,78,1490,421,43,103,86
Joe Harris,BRK,SG,49,219,25,2,University of Virginia,980431,52,1138,428,85,69,35
Andrew Harrison,MEM,PG,49,213,22,0,University of Kentucky,945000,72,1474,425,43,74,148
Jeff Teague,IND,PG,51,186,28,7,Wake Forest University,880000,82,2657,1254,90,312,360
Alan Williams,PHO,C,39,260,24,1,University of California. Santa Barbara,874636,47,708,346,0,138,70
Jonathon Simmons,SAS,SG,46,195,27,1,University of Houston,874636,78,1392,483,30,147,99
Josh Richardson,MIA,SG,51,200,23,1,University of Tennessee,874636,53,1614,539,75,127,60
Darrun Hilliard,DET,SG,40,205,23,1,Villanova University,874060,39,381,127,12,35,21
